AUTOR;DATA;NOME DO LOCAL;SOLO/ÁGUA;CARACTERÍSTICA LOCAL;STATUS AMBIENTAL;Latitude 1;Longitude 2;PONTO;TRATAMENTO;ESTADO DO SOLO;pH;TEMPERATURA;MATÉRIA ÔRGANICA;OD (mg/L);COND (µc/cm);OD (%);RÉPLICA;CÂMARA;CO2 flux (mg/m2/day)
Thiago Pereira ;01/11/2022;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO EXPOSTO;Natural;;;;;;;2;ESCURA;40012.50
Thiago Pereira ;01/11/2022;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO VEGETADO;Natural;;;;;;;1;ESCURA;24617.19
Thiago Pereira ;01/11/2022;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO VEGETADO;Natural;;;;;;;2;ESCURA;41577.21
Thiago Pereira ;01/11/2022;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO EXPOSTO;Natural;;;;;;;1;TRANSPARENTE;28534.00
Thiago Pereira ;01/11/2022;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO EXPOSTO;Natural;;;;;;;2;TRANSPARENTE;41850.55
Thiago Pereira ;01/11/2022;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO VEGETADO;Natural;;;;;;;1;TRANSPARENTE;34257.86
Thiago Pereira ;01/11/2022;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO VEGETADO;Natural;;;;;;;2;TRANSPARENTE;92879.93
Thiago Pereira ;01/11/2022;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO EXPOSTO;Natural;;;;;;;1;ESCURA;8599.39
Thiago Pereira ;01/11/2022;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO EXPOSTO;Natural;;;;;;;2;ESCURA;14620.87
Thiago Pereira ;01/11/2022;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO VEGETADO;Natural;;;;;;;1;ESCURA;27126.87
Thiago Pereira ;01/11/2022;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO VEGETADO;Natural;;;;;;;2;ESCURA;42503.20
Thiago Pereira ;22/05/2023;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO EXPOSTO;Natural;;;;;;;1;TRANSPARENTE;5714.16
Thiago Pereira ;22/05/2023;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO EXPOSTO;Natural;;;;;;;2;TRANSPARENTE;19306.24
Thiago Pereira ;22/05/2023;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO VEGETADO;Natural;;;;;;;1;TRANSPARENTE;18482.06
Thiago Pereira ;22/05/2023;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO VEGETADO;Natural;;;;;;;2;TRANSPARENTE;22269.16
Thiago Pereira ;22/05/2023;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO EXPOSTO;Natural;;;;;;;1;ESCURA;10718.03
Thiago Pereira ;22/05/2023;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO EXPOSTO;Natural;;;;;;;2;ESCURA;17487.91
Thiago Pereira ;22/05/2023;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO VEGETADO;Natural;;;;;;;1;ESCURA;20190.95
Thiago Pereira ;22/05/2023;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO VEGETADO;Natural;;;;;;;2;ESCURA;14992.32
Thiago Pereira ;22/05/2023;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;2;SOLO EXPOSTO;Natural;;;;;;;1;TRANSPARENTE;15513.24
Thiago Pereira ;22/05/2023;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;2;SOLO EXPOSTO;Natural;;;;;;;2;TRANSPARENTE;16908.66
Thiago Pereira ;22/05/2023;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;2;SOLO VEGETADO;Natural;;;;;;;1;TRANSPARENTE;19268.13
Thiago Pereira ;22/05/2023;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;2;SOLO VEGETADO;Natural;;;;;;;2;TRANSPARENTE;13355.97
Thiago Pereira ;22/05/2023;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;2;SOLO EXPOSTO;Natural;;;;;;;1;ESCURA;13403.78
Thiago Pereira ;22/05/2023;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;2;SOLO EXPOSTO;Natural;;;;;;;2;ESCURA;17188.62
Thiago Pereira ;22/05/2023;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;2;SOLO VEGETADO;Natural;;;;;;;1;ESCURA;12739.01
Thiago Pereira ;22/05/2023;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;2;SOLO VEGETADO;Natural;;;;;;;2;ESCURA;35835.94
Thiago Pereira ;22/05/2023;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;3;SOLO EXPOSTO;Natural;;;;;;;1;TRANSPARENTE;18273.07
Thiago Pereira ;22/05/2023;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;3;SOLO EXPOSTO;Natural;;;;;;;2;TRANSPARENTE;11205.86
Thiago Pereira ;22/05/2023;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;3;SOLO VEGETADO;Natural;;;;;;;1;TRANSPARENTE;19413.05
Thiago Pereira ;22/05/2023;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;3;SOLO VEGETADO;Natural;;;;;;;2;TRANSPARENTE;8814.23
Thiago Pereira ;22/05/2023;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;3;SOLO EXPOSTO;Natural;;;;;;;1;ESCURA;7307.97
Thiago Pereira ;22/05/2023;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;3;SOLO EXPOSTO;Natural;;;;;;;2;ESCURA;12074.22
Thiago Pereira ;22/05/2023;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;3;SOLO VEGETADO;Natural;;;;;;;1;ESCURA;19690.06
Thiago Pereira ;22/05/2023;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;3;SOLO VEGETADO;Natural;;;;;;;2;ESCURA;13048.51
Thiago Pereira ;22/05/2023;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO EXPOSTO;Natural;;;;;;;1;TRANSPARENTE;41301.03
Thiago Pereira ;22/05/2023;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO EXPOSTO;Natural;;;;;;;2;TRANSPARENTE;12731.35
Thiago Pereira ;22/05/2023;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO VEGETADO;Natural;;;;;;;1;TRANSPARENTE;3635.67
Thiago Pereira ;22/05/2023;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO VEGETADO;Natural;;;;;;;2;TRANSPARENTE;4857.07
Thiago Pereira ;22/05/2023;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO EXPOSTO;Natural;;;;;;;1;ESCURA;19015.43
Thiago Pereira ;22/05/2023;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO EXPOSTO;Natural;;;;;;;2;ESCURA;24961.98
Thiago Pereira ;22/05/2023;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO VEGETADO;Natural;;;;;;;1;ESCURA;9673.25
Thiago Pereira ;22/05/2023;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO VEGETADO;Natural;;;;;;;2;ESCURA;134853.58
Thiago Pereira ;22/05/2023;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO EXPOSTO;Natural;;;;;;;1;TRANSPARENTE;44355.26
Thiago Pereira ;22/05/2023;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO EXPOSTO;Natural;;;;;;;2;TRANSPARENTE;-3640.56
Thiago Pereira ;22/05/2023;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO VEGETADO;Natural;;;;;;;1;TRANSPARENTE;4220.65
Thiago Pereira ;22/05/2023;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO VEGETADO;Natural;;;;;;;2;TRANSPARENTE;41179.51
Thiago Pereira ;22/05/2023;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO EXPOSTO;Natural;;;;;;;1;ESCURA;34831.52
Thiago Pereira ;22/05/2023;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO EXPOSTO;Natural;;;;;;;2;ESCURA;17485.14
Thiago Pereira ;22/05/2023;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO VEGETADO;Natural;;;;;;;1;ESCURA;7520.65
Thiago Pereira ;22/05/2023;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO VEGETADO;Natural;;;;;;;2;ESCURA;5743.09
Thiago Pereira ;15/08/2023;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO EXPOSTO;Natural;;;;;;;1;TRANSPARENTE;17719.30
Thiago Pereira ;15/08/2023;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO EXPOSTO;Natural;;;;;;;2;TRANSPARENTE;5849.48
Thiago Pereira ;15/08/2023;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO EXPOSTO;Natural;;;;;;;1;ESCURA;15043.76
Thiago Pereira ;15/08/2023;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO EXPOSTO;Natural;;;;;;;2;ESCURA;5675.84
Thiago Pereira ;15/08/2023;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO VEGETADO;Natural;;;;;;;1;TRANSPARENTE;6295.10
Thiago Pereira ;15/08/2023;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO VEGETADO;Natural;;;;;;;2;TRANSPARENTE;13107.00
Thiago Pereira ;15/08/2023;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO VEGETADO;Natural;;;;;;;1;ESCURA;7137.30
Thiago Pereira ;15/08/2023;PONTA DO MORRO ;SOLO;NASCENTE;Natural;-16.18649722;-57.53737222;1;SOLO VEGETADO;Natural;;;;;;;2;ESCURA;9876.29
Thiago Pereira ;15/08/2023;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;3;SOLO EXPOSTO;Natural;;;;;;;1;TRANSPARENTE;8258.92
Thiago Pereira ;15/08/2023;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;3;SOLO EXPOSTO;Natural;;;;;;;2;TRANSPARENTE;12039.27
Thiago Pereira ;15/08/2023;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;3;SOLO EXPOSTO;Natural;;;;;;;1;ESCURA;8271.29
Thiago Pereira ;15/08/2023;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;3;SOLO EXPOSTO;Natural;;;;;;;2;ESCURA;6880.55
Thiago Pereira ;15/08/2023;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;3;SOLO VEGETADO;Natural;;;;;;;1;TRANSPARENTE;18165.30
Thiago Pereira ;15/08/2023;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;3;SOLO VEGETADO;Natural;;;;;;;2;TRANSPARENTE;11157.47
Thiago Pereira ;15/08/2023;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;3;SOLO VEGETADO;Natural;;;;;;;1;ESCURA;19742.85
Thiago Pereira ;15/08/2023;ÁGUAS CLARAS;SOLO;NASCENTE;Natural;-16.08067222;-57.56555000;3;SOLO VEGETADO;Natural;;;;;;;2;ESCURA;7029.19
Thiago Pereira ;15/08/2023;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;4;SOLO EXPOSTO;Natural;;;;;;;1;TRANSPARENTE;6194.58
Thiago Pereira ;15/08/2023;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;4;SOLO EXPOSTO;Natural;;;;;;;2;TRANSPARENTE;9020.75
Thiago Pereira ;15/08/2023;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;4;SOLO EXPOSTO;Natural;;;;;;;1;ESCURA;5480.98
Thiago Pereira ;15/08/2023;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;4;SOLO EXPOSTO;Natural;;;;;;;2;ESCURA;-33941.17
Thiago Pereira ;15/08/2023;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;4;SOLO VEGETADO;Natural;;;;;;;1;TRANSPARENTE;-29556.48
Thiago Pereira ;15/08/2023;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;4;SOLO VEGETADO;Natural;;;;;;;2;TRANSPARENTE;19873.13
Thiago Pereira ;15/08/2023;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;4;SOLO VEGETADO;Natural;;;;;;;1;ESCURA;16808.65
Thiago Pereira ;15/08/2023;DANILO;SOLO;PERCURSO;Natural;-16.07513889;-57.57181389;4;SOLO VEGETADO;Natural;;;;;;;2;ESCURA;7975.35
Thiago Pereira ;15/08/2023;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO EXPOSTO;Natural;;;;;;;1;TRANSPARENTE;10352.00
Thiago Pereira ;15/08/2023;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO EXPOSTO;Natural;;;;;;;2;TRANSPARENTE;7910.91
Thiago Pereira ;15/08/2023;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO EXPOSTO;Natural;;;;;;;1;ESCURA;9044.00
Thiago Pereira ;15/08/2023;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO EXPOSTO;Natural;;;;;;;2;ESCURA;-11145.34
Thiago Pereira ;15/08/2023;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO VEGETADO;Natural;;;;;;;1;TRANSPARENTE;-9168.42
Thiago Pereira ;15/08/2023;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO VEGETADO;Natural;;;;;;;2;TRANSPARENTE;11315.96
Thiago Pereira ;15/08/2023;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO VEGETADO;Natural;;;;;;;1;ESCURA;19217.16
Thiago Pereira ;15/08/2023;PIRAPUTANGA ;SOLO;CACHOEIRA;Natural;-16.05816667;-57.57170833;4;SOLO VEGETADO;Natural;;;;;;;2;ESCURA;9281.08
Thiago Pereira ;15/08/2023;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO EXPOSTO;Natural;;;;;;;1;TRANSPARENTE;15962.08
Thiago Pereira ;15/08/2023;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO EXPOSTO;Natural;;;;;;;2;TRANSPARENTE;4953.06
Thiago Pereira ;15/08/2023;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO EXPOSTO;Natural;;;;;;;1;ESCURA;6586.75
Thiago Pereira ;15/08/2023;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO EXPOSTO;Natural;;;;;;;2;ESCURA;-10579.07
Thiago Pereira ;15/08/2023;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO VEGETADO;Natural;;;;;;;1;TRANSPARENTE;29134.50
Thiago Pereira ;15/08/2023;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO VEGETADO;Natural;;;;;;;2;TRANSPARENTE;19917.34
Thiago Pereira ;15/08/2023;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO VEGETADO;Natural;;;;;;;1;ESCURA;22605.80
Thiago Pereira ;15/08/2023;RIBEIRÃO ;SOLO;FOZ;Natural;-16.02602500;-57.62521667;5;SOLO VEGETADO;Natural;;;;;;;2;ESCURA;
Janaina;30/01/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;1;SOLO EXPOSTO;Natural ;;;;;;;1;TRANSPARENTE;20185.54
Janaina;31/01/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;1;SOLO EXPOSTO;Natural ;;;;;;;2;TRANSPARENTE;60398.74
Janaina;01/02/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;1;SOLO EXPOSTO;Natural ;;;;;;;3;TRANSPARENTE;34095.24
Janaina;02/02/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;1;SOLO EXPOSTO;Natural ;;;;;;;1;Escura ;-58331.84
Janaina;03/02/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;1;SOLO EXPOSTO;Natural ;;;;;;;2;Escura ;-104708.42
Janaina;04/02/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;1;SOLO EXPOSTO;Natural ;;;;;;;3;Escura ;56135.37
Janaina;04/02/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;2;SOLO EXPOSTO;Natural ;;;;;;;1;TRANSPARENTE;34578.71
Janaina;04/02/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;2;SOLO EXPOSTO;Natural ;;;;;;;2;TRANSPARENTE;37617.06
Janaina;04/02/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;2;SOLO EXPOSTO;Natural ;;;;;;;3;TRANSPARENTE;52924.59
Janaina;04/02/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;2;SOLO EXPOSTO;Natural ;;;;;;;1;Escura ;52924.59
Janaina;04/02/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;2;SOLO EXPOSTO;Natural ;;;;;;;2;Escura ;20546.18
Janaina;04/02/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;3;SOLO EXPOSTO;Natural ;;;;;;;3;Escura ;60666.13
Janaina;04/02/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;3;SOLO EXPOSTO;Natural ;;;;;;;1;TRANSPARENTE;73330.19
Janaina;04/02/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;3;SOLO EXPOSTO;Natural ;;;;;;;2;TRANSPARENTE;75711.99
Janaina;04/02/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;3;SOLO EXPOSTO;Natural ;;;;;;;3;TRANSPARENTE;60310.33
Janaina;04/02/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;3;SOLO EXPOSTO;Natural ;;;;;;;1;Escura ;59774.94
Janaina;04/02/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;3;SOLO EXPOSTO;Natural ;;;;;;;2;Escura ;52100.66
Janaina;04/02/2023;Área agricola ;SOLO;PASTAGEM;Antrópico;-16.15413889;-57.64280556;3;SOLO EXPOSTO;Natural ;;;;;;;3;Escura ;49107.00
Janaina;04/02/2023;Área urbana;SOLO;URBANO;Antrópico;-16.04268611;-57.63463611;4;SOLO EXPOSTO;Natural ;;;;;;;1;TRANSPARENTE;46992.04
Janaina;04/02/2023;Área urbana;SOLO;URBANO;Antrópico;-16.04268611;-57.63463611;4;SOLO EXPOSTO;Natural ;;;;;;;2;TRANSPARENTE;35644.22
Janaina;04/02/2023;Área urbana;SOLO;URBANO;Antrópico;-16.04268611;-57.63463611;4;SOLO EXPOSTO;Natural ;;;;;;;3;TRANSPARENTE;51590.03
Janaina;04/02/2023;Área urbana;SOLO;URBANO;Antrópico;-16.04268611;-57.63463611;4;SOLO EXPOSTO;Queimado ;;;;;;;1;TRANSPARENTE;70787.97
